Route ID,Short Name,Long Name,Description
MTA NYCT_BX42,Bx42,Throgs Neck - River Park Towers,via E Tremont Av / E 180th St / Burnside Av
MTA NYCT_BX41,Bx41,Williamsbridge - The Hub,via Webster Av
MTA NYCT_BX40,Bx40,Throgs Neck - River Park Towers,via E Tremont Av / E 180th St / Burnside Av
MTA NYCT_M31,M31,Yorkville - Clinton,via  York Av / 57th St
MTA NYCT_M35,M35,Ward's Island - East Harlem,via Randall's Island / RFK Bridge
MTA NYCT_M14D+,M14D-SBS,Lower East Side - Chelsea Piers,Select Bus Service via 14th St / Av D
MTA NYCT_M60+,M60-SBS,West Side - LaGuardia Airport,Select Bus Service via 125th St / Astoria Blvd
MTA NYCT_BX18A,Bx18A,Morris Heights/High Bridge Circulator,via 168 St / Undercliff Av
MTA NYCT_BX18B,Bx18B,Morris Heights/High Bridge Circulator,via 168 St / Sedgwick Av
MTA NYCT_Q44+,Q44-SBS,Bronx Zoo - Jamaica,Select Bus Service via Main St / Cross Bronx Svc Rd (Q20 Limited)
MTA NYCT_M7,M7,Harlem - 14th Street,via Columbus / Amsterdam / 6 & 7 Av / Bway
MTA NYCT_M8,M8,West Village - East Village,via 8 & 9 St Crosstown
MTA NYCT_M42,M42,United Nations - W 42 St Pier,via 42nd St Crosstown
MTA NYCT_M9,M9,Battery Park City - Kips Bay,via Avenue C / E Broadway
MTA NYCT_M1,M1,Harlem - East Village,via 5th Av / Madison Av
MTA NYCT_M2,M2,Washington Heights - East Village,via 5th Av / Madison Av / AC Powell Blvd
MTA NYCT_M3,M3,Fort George - East Village,via 5th Av / Madison Av / St Nicholas Av
MTA NYCT_M4,M4,The Cloisters - 32 St,via 5th Av / Madison Av / Broadway / Ft.Washington Av
MTA NYCT_M5,M5,George Washington Bridge - 31 St & 6 Av,via 5th Av / Av of Americas / Riverside Dr
MTA NYCT_M55,M55,W 44 St  - South Ferry,via 5 Av & 6 Av
MTA NYCT_M57,M57,East Side - West Side,via 57th St Crosstown
MTA NYCT_BX6+,Bx6-SBS,Hunts Point - Riverside Dr,Select Bus Service via E 161st St / E 163rd St / W 155 St
MTA NYCT_M50,M50,W 42 St Pier - East Side,via 49th St / 50th St Crosstown
MTA NYCT_SIM4C,SIM4C,Huguenot - Manhattan Express,via Richmond Av
MTA NYCT_M66,M66,East Side - Lincoln Center,via 65th & 68th St (East) / 67th & 66th St (West)
MTA NYCT_SIM4X,SIM4X,S.I. Mall - Lower Manhattan Express,via Park and Ride / Church St
MTA NYCT_BX92,BX92,2 Shuttle Bus - 135 St and 3 Av-149 St,via 145 St/149 St/3 Av
MTA NYCT_BX90,Bx90,5 Shuttle Bus - East 180 St - Dyre Ave,via Morris Park Ave/Williamsbridge Rd
MTA NYCT_B20,B20,Ridgewood - Spring Creek,via Pennsylvania Av / Decatur St
MTA NYCT_Q1,Q1,Queens Village / Bellerose - Jamaica,via Springfield Blvd / Braddock Av / Hillside Av
MTA NYCT_Q20B,Q20B,College Point - Jamaica,via 14 Av / Main St
MTA NYCT_Q20A,Q20A,College Point - Jamaica,via 20 Av / Main St
MTA NYCT_B11,B11,Sunset Park - Midwood,via 49th & 50th St / Avenue J
MTA NYCT_B13,B13,Spring Creek - Wyckoff Hospital,via Crescent St / Jamaica Av / Wyckoff Av
MTA NYCT_B12,B12,Lefferts Gardens - East New York,via Clarkson Av / Empire Blvd / East New York Av
MTA NYCT_B15,B15,Bedford Stuyvesant - JFK Airport,via Marcus Garvey Blvd / New Lots Av
MTA NYCT_B14,B14,Spring Creek - Crown Heights,via Sutter Av / Pitkin Av
MTA NYCT_B17,B17,Canarsie - Crown Heights,via Remsen Av / Seaview Av
MTA NYCT_M72,M72,East Side - West Side,via 72nd St Crosstown
MTA NYCT_B16,B16,Bay Ridge - Lefferts Gardens,via Ft Hamilton Pkwy / 13th & 14th Av
MTA NYCT_B31,B31,Gerritsen Beach - Kings Hwy Station,via Gerritsen Av / Avenue R
MTA NYCT_S42,S42,St. George - Clyde Place,via St Marks Pl / Jersey St
MTA NYCT_S44,S44,St. George - Staten Island Mall,via Richmond Av
MTA NYCT_S46,S46,St. George - West Shore Plaza,via Castleton Av
MTA NYCT_S48,S48,St. George - Mariners Harbor,via Forest Av
MTA NYCT_SIM35,SIM35,Port Richmond - Lower Manhattan Express,via Clove Rd
MTA NYCT_S40,S40,St. George - Amazon,via Richmond Terrace
MTA NYCT_Q2,Q2,Queens Village - Jamaica,via Hollis Av / Hillside Av
MTA NYCT_SIM31,SIM31,Eltingville - Midtown Manhattan Express,via Forest Hill Rd
MTA NYCT_Q3,Q3,Jamaica - JFK Airport,via Farmers Blvd / Hillside Av
MTA NYCT_SIM32,SIM32,Travis - Lower Manhattan Express,via N Gannon Av / Victory Bl
MTA NYCT_B24,B24,Williamsburg - Greenpoint,via Greenpoint Av & 48th St / Meeker Av
MTA NYCT_M34A+,M34A-SBS,Waterside - Port Authority Terminal,Select Bus Service via 34th St Crosstown
MTA NYCT_Q4,Q4,Cambria Heights - Jamaica,via Linden Blvd / Merrick Blvd
MTA NYCT_SIM33,SIM33,Mariners Harbor - Manhattan Express,via N Gannon Av
MTA NYCT_Q5,Q5,Rosedale or Green Acres Mall - Jamaica,via Merrick Blvd / Hook Creek Blvd / Sunrise Highway
MTA NYCT_SIM34,SIM34,Mariners Harbor - Lower Manhattan Express,via Watchogue Rd
MTA NYCT_B26,B26,Downtown Brooklyn - Ridgewood,via Halsey St / Fulton St
MTA NYCT_B25,B25,Dwntn Bklyn & DUMBO - Broadway Junction,via Fulton St
MTA NYCT_B44+,B44-SBS,Sheepshead Bay - Williamsburg,Select Bus Service via Nostrand Av
MTA NYCT_SIM30,SIM30,Sunnyside - Midtown Manhattan Express,via Forest Av
MTA NYCT_B42,B42,Canarsie Pier - Rockaway Parkway Station,via Rockaway Pkwy
MTA NYCT_B41,B41,Kings Plaza - Downtown Brooklyn,via Flatbush Av / Livingston St
MTA NYCT_M79+,M79-SBS,Yorkville - West Side,Select Bus Service via 79th St Crosstown
MTA NYCT_B3,B3,Bensonhurst - Bergen Beach,via Avenue U
MTA NYCT_Q12,Q12,Little Neck - Flushing,via Sanford Av / Northern Blvd
MTA NYCT_S54,S54,West New Brighton - Eltingville,via Manor Rd
MTA NYCT_B4,B4,Bay Ridge - Sheepshead Bay,via Bay Ridge Pkwy / 86th St / Avenue Z
MTA NYCT_S53,S53,Port Richmond - Bay Ridge,via Verrazano-Narrows Bridge / Clove Rd
MTA NYCT_S56,S56,Huguenot - Staten Island Mall,via Richmond Av / Arthur Kill Rd / Foster Rd
MTA NYCT_SIM3C,SIM3C,Pt. Richmond - Manhattan Express,via Watchogue Rd
MTA NYCT_B6,B6,Bath Beach - East New York,via Bay Pkwy / Avenue J / Flatlands Av
MTA NYCT_Q13,Q13,Fort Totten - Flushing,via Northern Blvd / Bell Blvd
MTA NYCT_S55,S55,Rossville - Staten Island Mall,via Bloomingdale Rd / Annadale Rd / Richmond Av
MTA NYCT_B7,B7,Midwood - Bedford-Stuyvesant,via Kings Hwy / Saratoga Av
MTA NYCT_Q16,Q16,Fort Totten - Flushing,via Bayside Av / Francis Lewis Blvd / Utopia Parkway
MTA NYCT_B8,B8,Dyker Heights - East Flatbush,via 18th Av / Foster Av / Avenue D
MTA NYCT_Q15,Q15,Flushing - Beechhurst,via 150th St / 154th St
MTA NYCT_S57,S57,Port Richmond - New Dorp,via Rockland Av / Brielle Av / Bradley Av
MTA NYCT_B9,B9,Bay Ridge - Kings Plaza,via 60th St / Avenue M
MTA NYCT_Q17,Q17,Flushing - Jamaica,via Kissena Blvd / Horace Harding Expwy / 188th St / Hillside Av
MTA NYCT_S59,S59,Port Richmond - Tottenville,via Richmond Av
MTA NYCT_M96,M96,East Side - West Side,via 96th St Crosstown
MTA NYCT_M98,M98,Washington Heights - Upper East Side LTD,via Harlem River Dr / Lexington / 3rd
MTA NYCT_B1,B1,Bay Ridge - Manhattan Beach,via 86th St / Ocean Pkwy
MTA NYCT_S52,S52,St. George - Staten Island Univ. Hospital,via Tompkins Av / Cebra Av / Jersey St
MTA NYCT_B2,B2,Kings Hwy Station - Kings Plaza,via Avenue R / Avenue S
MTA NYCT_S51,S51,St. George - Grant City,via Bay St / Father Capodanno Blvd
MTA NYCT_Q107,Q107,7 Shuttle Bus - 74 St/Roosevelt Av - Queens Plaza,via Queens Blvd/Roosevelt Av
MTA NYCT_Q108,Q108,N Shuttle Bus - 39 Av - Queens Plaza,via Jackson Av
MTA NYCT_B32,B32,Williamsburg - Long Island City,via Kent Av / Wythe Av
MTA NYCT_M90,M90,M Shuttle Bus - Metropolitan Av - Myrtle Av,via Myrtle Av
MTA NYCT_B35,B35,Brownsville - Sunset Park,via Church Av / 39th St
MTA NYCT_B37,B37,Downtown Brooklyn - Bay Ridge,via 3rd Av
MTA NYCT_B36,B36,Sheepshead Bay - Coney Island,via Avenue Z / Surf Av
MTA NYCT_B39,B39,Williamsburg Bridge Plaza - Lower East Side,via Williamsburg Bridge / Delancey St
MTA NYCT_B38,B38,Ridgewood - Downtown Brooklyn,via DeKalb & Lafayette Av
