NTAName,avg,NTA2020,date
Forest Park,18.407626277777776,QN8291,2024-12-28 19:18:22.462790
John F. Kennedy International Airport,2.8767780761316875,QN8381,2024-12-28 19:18:22.462790
Jamaica Bay (East),,QN8491,2024-12-28 19:18:22.462790
Jacob Riis Park-Fort Tilden-Breezy Point Tip,,QN8492,2024-12-28 19:18:22.462790
St. George-New Brighton,4.034585590990201,SI0101,2024-12-28 19:18:22.462790
Tompkinsville-Stapleton-Clifton-Fox Hills,3.0430287019462017,SI0102,2024-12-28 19:18:22.462790
Rosebank-Shore Acres-Park Hill,7.335833004736808,SI0103,2024-12-28 19:18:22.462790
West New Brighton-Silver Lake-Grymes Hill,3.2023743703299807,SI0104,2024-12-28 19:18:22.462790
Westerleigh-Castleton Corners,7.940997925301294,SI0105,2024-12-28 19:18:22.462790
Port Richmond,4.797187511066583,SI0106,2024-12-28 19:18:22.462790
Mariner's Harbor-Arlington-Graniteville,5.394871278484992,SI0107,2024-12-28 19:18:22.462790
Snug Harbor,7.937573958333333,SI0191,2024-12-28 19:18:22.462790
Grasmere-Arrochar-South Beach-Dongan Hills,4.285270677172734,SI0201,2024-12-28 19:18:22.462790
New Dorp-Midland Beach,5.642749413315545,SI0202,2024-12-28 19:18:22.462790
Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights,3.96930167562724,SI0203,2024-12-28 19:18:22.462790
New Springville-Willowbrook-Bulls Head-Travis,4.041701048867312,SI0204,2024-12-28 19:18:22.462790
Freshkills Park (North),6.6714791534391535,SI0291,2024-12-28 19:18:22.462790
Oakwood-Richmondtown,4.405797562678062,SI0301,2024-12-28 19:18:22.462790
Great Kills-Eltingville,5.716607001766616,SI0302,2024-12-28 19:18:22.462790
Arden Heights-Rossville,8.42664292929293,SI0303,2024-12-28 19:18:22.462790
Annadale-Huguenot-Prince's Bay-Woodrow,3.62488487654321,SI0304,2024-12-28 19:18:22.462790
Tottenville-Charleston,5.497484113756614,SI0305,2024-12-28 19:18:22.462790
Freshkills Park (South),10.358596527777777,SI0391,2024-12-28 19:18:22.462790
Fort Wadsworth,17.4116,SI9561,2024-12-28 19:18:22.462790
Hoffman & Swinburne Islands,,SI9591,2024-12-28 19:18:22.462790
Miller Field,4.819358333333334,SI9592,2024-12-28 19:18:22.462790
Great Kills Park,1.9796670524691358,SI9593,2024-12-28 19:18:22.462790
Alley Pond Park,4.561165079365079,QN1191,2024-12-28 19:27:22.166206
Annadale-Huguenot-Prince's Bay-Woodrow,10.973863888888888,SI0304,2024-12-28 19:27:22.166206
Arden Heights-Rossville,7.640269444444443,SI0303,2024-12-28 19:27:22.166206
Auburndale,8.254440737433862,QN1101,2024-12-28 19:27:22.166206
Baisley Park,0.8695222222222222,QN1203,2024-12-28 19:27:22.166206
Bath Beach,7.600975347222223,BK1102,2024-12-28 19:27:22.166206
Bay Ridge,9.000352296006945,BK1001,2024-12-28 19:27:22.166206
Bay Terrace-Clearview,6.518254871794872,QN0703,2024-12-28 19:27:22.166206
Bayside,3.984218800930936,QN1102,2024-12-28 19:27:22.166206
Bedford-Stuyvesant (East),6.021994507642563,BK0302,2024-12-28 19:27:22.166206
Bedford-Stuyvesant (West),3.7072438071895424,BK0301,2024-12-28 19:27:22.166206
Bellerose,5.865220694444445,QN1302,2024-12-28 19:27:22.166206
Bensonhurst,7.328709873737374,BK1101,2024-12-28 19:27:22.166206
Borough Park,7.6030172863247865,BK1202,2024-12-28 19:27:22.166206
Brighton Beach,8.612861243386243,BK1303,2024-12-28 19:27:22.166206
Brooklyn Heights,2.13693875,BK0201,2024-12-28 19:27:22.166206
Brooklyn Navy Yard,12.190522222222222,BK0261,2024-12-28 19:27:22.166206
Brownsville,6.242928477733686,BK1602,2024-12-28 19:27:22.166206
Bushwick (East),6.437328888888889,BK0402,2024-12-28 19:27:22.166206
Bushwick (West),8.404317722222222,BK0401,2024-12-28 19:27:22.166206
Calvary & Mount Zion Cemeteries,2.410616666666667,QN0271,2024-12-28 19:27:22.166206
Cambria Heights,1.326461574074074,QN1304,2024-12-28 19:27:22.166206
Canarsie,7.114478943668047,BK1803,2024-12-28 19:27:22.166206
Canarsie Park & Pier,3.78720119047619,BK1893,2024-12-28 19:27:22.166206
Carroll Gardens-Cobble Hill-Gowanus-Red Hook,10.636856746031745,BK0601,2024-12-28 19:27:22.166206
Central Park,6.698384694616977,MN6491,2024-12-28 19:27:22.166206
Chelsea-Hudson Yards,8.314085572562359,MN0401,2024-12-28 19:27:22.166206
Chinatown-Two Bridges,2.3193091005291,MN0301,2024-12-28 19:27:22.166206
Clinton Hill,3.2001150997150996,BK0204,2024-12-28 19:27:22.166206
College Point,15.415658333333333,QN0701,2024-12-28 19:27:22.166206
Coney Island-Sea Gate,4.391779398148148,BK1302,2024-12-28 19:27:22.166206
Corona,5.344522866838023,QN0402,2024-12-28 19:27:22.166206
Crown Heights (North),8.181324911778036,BK0802,2024-12-28 19:27:22.166206
Crown Heights (South),4.725273263888889,BK0901,2024-12-28 19:27:22.166206
Cunningham Park,5.033285000000001,QN0891,2024-12-28 19:27:22.166206
Cypress Hills,6.429241071428572,BK0501,2024-12-28 19:27:22.166206
Douglaston-Little Neck,12.057449861111111,QN1103,2024-12-28 19:27:22.166206
